site,reviews
rotten_tomatoes,"There's so much affection for and investment in the original characters...people will be excited...but I just didn't get the magic. It's fine, but Frozen I was so much more than fine...
                                "
rotten_tomatoes,"[Some] sequences have a gleam and a rhythm to them that encapsulates Disney animation at its purest and most sinuous. The film itself doesn't hit that sweet spot that makes Pixar animations, for example, fun for adults as well as their children.
                                "
rotten_tomatoes,"This movie is so confusing that even talking about it is confusing.
                                "
rotten_tomatoes,"This is a well-considered, beautifully made - if not particularly brave or adventurous - sequel which carries both emotional heft and an intriguing mystery at its heart.
                                "
rotten_tomatoes,"Frozen II is an ambitious and challenging animated film that tries to evolve not only its own story but also the expectations for all of Disney animation.
                                "
rotten_tomatoes,"'Frozen 2' is one more Disney film this year that has taken on some huge social topics and masked them in a story that rivets audiences.
                                "
rotten_tomatoes,"Your kids will love it. But if you're like me and you love the original for its depth and how well thought out its thematic strengths were, you will find this one sorely lacking.
                                "
rotten_tomatoes,"The songs in Frozen 2 are memorable, welcoming and fresh and its fun to see the Arendelle gang all back together.
                                "
rotten_tomatoes,"An enjoyable film, though Elsa's lack of romantic plotline would be more admirable if all of her songs didn't make her sound like she was trying to come out of the closet.
                                "
rotten_tomatoes,"Even those who don't will be swept up in the propulsive narrative, the sumptuous beauty and the delight of characters who love each other no matter what.
                                "
rotten_tomatoes,"But it's the relationship between Elsa and Anna that gets the main focus, as it should, offering the sisters another chance to forge their own paths.
                                "
rotten_tomatoes,"Frozen II is infinitely less transcendent and it is also solemn, leaden and of a feathery magic. [Full Review in Spanish]
                                "
rotten_tomatoes,"So, not a disaster, but certainly not great either.
                                "
rotten_tomatoes,"The original was always going to be a hard act to follow, and although it doesn't quite reach the heights, this sequel should give fans, old and new, a lot of joy.
                                "
rotten_tomatoes,"With its message of female empowerment, and soundtrack full of earworms - once again written by the award-winning couple Kristen Anderson-Lopez and Robert Lopez - Frozen 2 sticks to its predecessor's winning formula.
                                "
rotten_tomatoes,"Frozen 2 just lets us know what is missing and, for a film that puts a lot of weight behind the idea of its characters moving on, this one clearly knows it is not yet ready to.
                                "
rotten_tomatoes,"Ultimately, Frozen II feels like a strong continuation of the popular Disney franchise. The movie reunites some of the best parts of the first film and still manages to develop and improve on the already highly tuned stylistic imagery.
                                "
rotten_tomatoes,"Too bad Frozen 2 doesn't so much chart a new path as echo the one previously laid out.
                                "
rotten_tomatoes,"Anna ends up singing ""hello darkness, I'm ready to succumb"" and ""this grief has a gravity, it pulls me down."" Like much of the rest of the film, it's a bummer.
                                "
rotten_tomatoes,"While it's interesting to see a Disney sequel borrow parts of its plot from The Fifth Element, of all things, Frozen II ultimately doesn't go anywhere we don't expect it to. Let's hope that the inevitable Part III is willing to take a few more risks.
                                "
rotten_tomatoes,"There's so much affection for and investment in the original characters...people will be excited...but I just didn't get the magic. It's fine, but Frozen I was so much more than fine...
                                "
rotten_tomatoes,"[Some] sequences have a gleam and a rhythm to them that encapsulates Disney animation at its purest and most sinuous. The film itself doesn't hit that sweet spot that makes Pixar animations, for example, fun for adults as well as their children.
                                "
rotten_tomatoes,"This movie is so confusing that even talking about it is confusing.
                                "
rotten_tomatoes,"This is a well-considered, beautifully made - if not particularly brave or adventurous - sequel which carries both emotional heft and an intriguing mystery at its heart.
                                "
rotten_tomatoes,"Frozen II is an ambitious and challenging animated film that tries to evolve not only its own story but also the expectations for all of Disney animation.
                                "
rotten_tomatoes,"'Frozen 2' is one more Disney film this year that has taken on some huge social topics and masked them in a story that rivets audiences.
                                "
rotten_tomatoes,"Your kids will love it. But if you're like me and you love the original for its depth and how well thought out its thematic strengths were, you will find this one sorely lacking.
                                "
rotten_tomatoes,"The songs in Frozen 2 are memorable, welcoming and fresh and its fun to see the Arendelle gang all back together.
                                "
rotten_tomatoes,"An enjoyable film, though Elsa's lack of romantic plotline would be more admirable if all of her songs didn't make her sound like she was trying to come out of the closet.
                                "
rotten_tomatoes,"Even those who don't will be swept up in the propulsive narrative, the sumptuous beauty and the delight of characters who love each other no matter what.
                                "
rotten_tomatoes,"But it's the relationship between Elsa and Anna that gets the main focus, as it should, offering the sisters another chance to forge their own paths.
                                "
rotten_tomatoes,"Frozen II is infinitely less transcendent and it is also solemn, leaden and of a feathery magic. [Full Review in Spanish]
                                "
rotten_tomatoes,"So, not a disaster, but certainly not great either.
                                "
rotten_tomatoes,"The original was always going to be a hard act to follow, and although it doesn't quite reach the heights, this sequel should give fans, old and new, a lot of joy.
                                "
rotten_tomatoes,"With its message of female empowerment, and soundtrack full of earworms - once again written by the award-winning couple Kristen Anderson-Lopez and Robert Lopez - Frozen 2 sticks to its predecessor's winning formula.
                                "
rotten_tomatoes,"Frozen 2 just lets us know what is missing and, for a film that puts a lot of weight behind the idea of its characters moving on, this one clearly knows it is not yet ready to.
                                "
rotten_tomatoes,"Ultimately, Frozen II feels like a strong continuation of the popular Disney franchise. The movie reunites some of the best parts of the first film and still manages to develop and improve on the already highly tuned stylistic imagery.
                                "
rotten_tomatoes,"Too bad Frozen 2 doesn't so much chart a new path as echo the one previously laid out.
                                "
rotten_tomatoes,"Anna ends up singing ""hello darkness, I'm ready to succumb"" and ""this grief has a gravity, it pulls me down."" Like much of the rest of the film, it's a bummer.
                                "
rotten_tomatoes,"While it's interesting to see a Disney sequel borrow parts of its plot from The Fifth Element, of all things, Frozen II ultimately doesn't go anywhere we don't expect it to. Let's hope that the inevitable Part III is willing to take a few more risks.
                                "
rotten_tomatoes,"There's so much affection for and investment in the original characters...people will be excited...but I just didn't get the magic. It's fine, but Frozen I was so much more than fine...
                                "
rotten_tomatoes,"[Some] sequences have a gleam and a rhythm to them that encapsulates Disney animation at its purest and most sinuous. The film itself doesn't hit that sweet spot that makes Pixar animations, for example, fun for adults as well as their children.
                                "
rotten_tomatoes,"This movie is so confusing that even talking about it is confusing.
                                "
rotten_tomatoes,"This is a well-considered, beautifully made - if not particularly brave or adventurous - sequel which carries both emotional heft and an intriguing mystery at its heart.
                                "
rotten_tomatoes,"Frozen II is an ambitious and challenging animated film that tries to evolve not only its own story but also the expectations for all of Disney animation.
                                "
rotten_tomatoes,"'Frozen 2' is one more Disney film this year that has taken on some huge social topics and masked them in a story that rivets audiences.
                                "
rotten_tomatoes,"Your kids will love it. But if you're like me and you love the original for its depth and how well thought out its thematic strengths were, you will find this one sorely lacking.
                                "
rotten_tomatoes,"The songs in Frozen 2 are memorable, welcoming and fresh and its fun to see the Arendelle gang all back together.
                                "
rotten_tomatoes,"An enjoyable film, though Elsa's lack of romantic plotline would be more admirable if all of her songs didn't make her sound like she was trying to come out of the closet.
                                "
rotten_tomatoes,"Even those who don't will be swept up in the propulsive narrative, the sumptuous beauty and the delight of characters who love each other no matter what.
                                "
rotten_tomatoes,"But it's the relationship between Elsa and Anna that gets the main focus, as it should, offering the sisters another chance to forge their own paths.
                                "
rotten_tomatoes,"Frozen II is infinitely less transcendent and it is also solemn, leaden and of a feathery magic. [Full Review in Spanish]
                                "
rotten_tomatoes,"So, not a disaster, but certainly not great either.
                                "
rotten_tomatoes,"The original was always going to be a hard act to follow, and although it doesn't quite reach the heights, this sequel should give fans, old and new, a lot of joy.
                                "
rotten_tomatoes,"With its message of female empowerment, and soundtrack full of earworms - once again written by the award-winning couple Kristen Anderson-Lopez and Robert Lopez - Frozen 2 sticks to its predecessor's winning formula.
                                "
rotten_tomatoes,"Frozen 2 just lets us know what is missing and, for a film that puts a lot of weight behind the idea of its characters moving on, this one clearly knows it is not yet ready to.
                                "
rotten_tomatoes,"Ultimately, Frozen II feels like a strong continuation of the popular Disney franchise. The movie reunites some of the best parts of the first film and still manages to develop and improve on the already highly tuned stylistic imagery.
                                "
rotten_tomatoes,"Too bad Frozen 2 doesn't so much chart a new path as echo the one previously laid out.
                                "
rotten_tomatoes,"Anna ends up singing ""hello darkness, I'm ready to succumb"" and ""this grief has a gravity, it pulls me down."" Like much of the rest of the film, it's a bummer.
                                "
rotten_tomatoes,"While it's interesting to see a Disney sequel borrow parts of its plot from The Fifth Element, of all things, Frozen II ultimately doesn't go anywhere we don't expect it to. Let's hope that the inevitable Part III is willing to take a few more risks.
                                "
rotten_tomatoes,"There's so much affection for and investment in the original characters...people will be excited...but I just didn't get the magic. It's fine, but Frozen I was so much more than fine...
                                "
rotten_tomatoes,"[Some] sequences have a gleam and a rhythm to them that encapsulates Disney animation at its purest and most sinuous. The film itself doesn't hit that sweet spot that makes Pixar animations, for example, fun for adults as well as their children.
                                "
rotten_tomatoes,"This movie is so confusing that even talking about it is confusing.
                                "
rotten_tomatoes,"This is a well-considered, beautifully made - if not particularly brave or adventurous - sequel which carries both emotional heft and an intriguing mystery at its heart.
                                "
rotten_tomatoes,"Frozen II is an ambitious and challenging animated film that tries to evolve not only its own story but also the expectations for all of Disney animation.
                                "
rotten_tomatoes,"'Frozen 2' is one more Disney film this year that has taken on some huge social topics and masked them in a story that rivets audiences.
                                "
rotten_tomatoes,"Your kids will love it. But if you're like me and you love the original for its depth and how well thought out its thematic strengths were, you will find this one sorely lacking.
                                "
rotten_tomatoes,"The songs in Frozen 2 are memorable, welcoming and fresh and its fun to see the Arendelle gang all back together.
                                "
rotten_tomatoes,"An enjoyable film, though Elsa's lack of romantic plotline would be more admirable if all of her songs didn't make her sound like she was trying to come out of the closet.
                                "
rotten_tomatoes,"Even those who don't will be swept up in the propulsive narrative, the sumptuous beauty and the delight of characters who love each other no matter what.
                                "
rotten_tomatoes,"But it's the relationship between Elsa and Anna that gets the main focus, as it should, offering the sisters another chance to forge their own paths.
                                "
rotten_tomatoes,"Frozen II is infinitely less transcendent and it is also solemn, leaden and of a feathery magic. [Full Review in Spanish]
                                "
rotten_tomatoes,"So, not a disaster, but certainly not great either.
                                "
rotten_tomatoes,"The original was always going to be a hard act to follow, and although it doesn't quite reach the heights, this sequel should give fans, old and new, a lot of joy.
                                "
rotten_tomatoes,"With its message of female empowerment, and soundtrack full of earworms - once again written by the award-winning couple Kristen Anderson-Lopez and Robert Lopez - Frozen 2 sticks to its predecessor's winning formula.
                                "
rotten_tomatoes,"Frozen 2 just lets us know what is missing and, for a film that puts a lot of weight behind the idea of its characters moving on, this one clearly knows it is not yet ready to.
                                "
rotten_tomatoes,"Ultimately, Frozen II feels like a strong continuation of the popular Disney franchise. The movie reunites some of the best parts of the first film and still manages to develop and improve on the already highly tuned stylistic imagery.
                                "
rotten_tomatoes,"Too bad Frozen 2 doesn't so much chart a new path as echo the one previously laid out.
                                "
rotten_tomatoes,"Anna ends up singing ""hello darkness, I'm ready to succumb"" and ""this grief has a gravity, it pulls me down."" Like much of the rest of the film, it's a bummer.
                                "
rotten_tomatoes,"While it's interesting to see a Disney sequel borrow parts of its plot from The Fifth Element, of all things, Frozen II ultimately doesn't go anywhere we don't expect it to. Let's hope that the inevitable Part III is willing to take a few more risks.
                                "
rotten_tomatoes,"There's so much affection for and investment in the original characters...people will be excited...but I just didn't get the magic. It's fine, but Frozen I was so much more than fine...
                                "
rotten_tomatoes,"[Some] sequences have a gleam and a rhythm to them that encapsulates Disney animation at its purest and most sinuous. The film itself doesn't hit that sweet spot that makes Pixar animations, for example, fun for adults as well as their children.
                                "
rotten_tomatoes,"This movie is so confusing that even talking about it is confusing.
                                "
rotten_tomatoes,"This is a well-considered, beautifully made - if not particularly brave or adventurous - sequel which carries both emotional heft and an intriguing mystery at its heart.
                                "
rotten_tomatoes,"Frozen II is an ambitious and challenging animated film that tries to evolve not only its own story but also the expectations for all of Disney animation.
                                "
rotten_tomatoes,"'Frozen 2' is one more Disney film this year that has taken on some huge social topics and masked them in a story that rivets audiences.
                                "
rotten_tomatoes,"Your kids will love it. But if you're like me and you love the original for its depth and how well thought out its thematic strengths were, you will find this one sorely lacking.
                                "
rotten_tomatoes,"The songs in Frozen 2 are memorable, welcoming and fresh and its fun to see the Arendelle gang all back together.
                                "
rotten_tomatoes,"An enjoyable film, though Elsa's lack of romantic plotline would be more admirable if all of her songs didn't make her sound like she was trying to come out of the closet.
                                "
rotten_tomatoes,"Even those who don't will be swept up in the propulsive narrative, the sumptuous beauty and the delight of characters who love each other no matter what.
                                "
rotten_tomatoes,"But it's the relationship between Elsa and Anna that gets the main focus, as it should, offering the sisters another chance to forge their own paths.
                                "
rotten_tomatoes,"Frozen II is infinitely less transcendent and it is also solemn, leaden and of a feathery magic. [Full Review in Spanish]
                                "
rotten_tomatoes,"So, not a disaster, but certainly not great either.
                                "
rotten_tomatoes,"The original was always going to be a hard act to follow, and although it doesn't quite reach the heights, this sequel should give fans, old and new, a lot of joy.
                                "
rotten_tomatoes,"With its message of female empowerment, and soundtrack full of earworms - once again written by the award-winning couple Kristen Anderson-Lopez and Robert Lopez - Frozen 2 sticks to its predecessor's winning formula.
                                "
rotten_tomatoes,"Frozen 2 just lets us know what is missing and, for a film that puts a lot of weight behind the idea of its characters moving on, this one clearly knows it is not yet ready to.
                                "
rotten_tomatoes,"Ultimately, Frozen II feels like a strong continuation of the popular Disney franchise. The movie reunites some of the best parts of the first film and still manages to develop and improve on the already highly tuned stylistic imagery.
                                "
rotten_tomatoes,"Too bad Frozen 2 doesn't so much chart a new path as echo the one previously laid out.
                                "
rotten_tomatoes,"Anna ends up singing ""hello darkness, I'm ready to succumb"" and ""this grief has a gravity, it pulls me down."" Like much of the rest of the film, it's a bummer.
                                "
rotten_tomatoes,"While it's interesting to see a Disney sequel borrow parts of its plot from The Fifth Element, of all things, Frozen II ultimately doesn't go anywhere we don't expect it to. Let's hope that the inevitable Part III is willing to take a few more risks.
                                "
rotten_tomatoes,"There's so much affection for and investment in the original characters...people will be excited...but I just didn't get the magic. It's fine, but Frozen I was so much more than fine...
                                "
rotten_tomatoes,"[Some] sequences have a gleam and a rhythm to them that encapsulates Disney animation at its purest and most sinuous. The film itself doesn't hit that sweet spot that makes Pixar animations, for example, fun for adults as well as their children.
                                "
rotten_tomatoes,"This movie is so confusing that even talking about it is confusing.
                                "
rotten_tomatoes,"This is a well-considered, beautifully made - if not particularly brave or adventurous - sequel which carries both emotional heft and an intriguing mystery at its heart.
                                "
rotten_tomatoes,"Frozen II is an ambitious and challenging animated film that tries to evolve not only its own story but also the expectations for all of Disney animation.
                                "
rotten_tomatoes,"'Frozen 2' is one more Disney film this year that has taken on some huge social topics and masked them in a story that rivets audiences.
                                "
rotten_tomatoes,"Your kids will love it. But if you're like me and you love the original for its depth and how well thought out its thematic strengths were, you will find this one sorely lacking.
                                "
rotten_tomatoes,"The songs in Frozen 2 are memorable, welcoming and fresh and its fun to see the Arendelle gang all back together.
                                "
rotten_tomatoes,"An enjoyable film, though Elsa's lack of romantic plotline would be more admirable if all of her songs didn't make her sound like she was trying to come out of the closet.
                                "
rotten_tomatoes,"Even those who don't will be swept up in the propulsive narrative, the sumptuous beauty and the delight of characters who love each other no matter what.
                                "
rotten_tomatoes,"But it's the relationship between Elsa and Anna that gets the main focus, as it should, offering the sisters another chance to forge their own paths.
                                "
rotten_tomatoes,"Frozen II is infinitely less transcendent and it is also solemn, leaden and of a feathery magic. [Full Review in Spanish]
                                "
rotten_tomatoes,"So, not a disaster, but certainly not great either.
                                "
rotten_tomatoes,"The original was always going to be a hard act to follow, and although it doesn't quite reach the heights, this sequel should give fans, old and new, a lot of joy.
                                "
rotten_tomatoes,"With its message of female empowerment, and soundtrack full of earworms - once again written by the award-winning couple Kristen Anderson-Lopez and Robert Lopez - Frozen 2 sticks to its predecessor's winning formula.
                                "
rotten_tomatoes,"Frozen 2 just lets us know what is missing and, for a film that puts a lot of weight behind the idea of its characters moving on, this one clearly knows it is not yet ready to.
                                "
rotten_tomatoes,"Ultimately, Frozen II feels like a strong continuation of the popular Disney franchise. The movie reunites some of the best parts of the first film and still manages to develop and improve on the already highly tuned stylistic imagery.
                                "
rotten_tomatoes,"Too bad Frozen 2 doesn't so much chart a new path as echo the one previously laid out.
                                "
rotten_tomatoes,"Anna ends up singing ""hello darkness, I'm ready to succumb"" and ""this grief has a gravity, it pulls me down."" Like much of the rest of the film, it's a bummer.
                                "
rotten_tomatoes,"While it's interesting to see a Disney sequel borrow parts of its plot from The Fifth Element, of all things, Frozen II ultimately doesn't go anywhere we don't expect it to. Let's hope that the inevitable Part III is willing to take a few more risks.
                                "
rotten_tomatoes,"There's so much affection for and investment in the original characters...people will be excited...but I just didn't get the magic. It's fine, but Frozen I was so much more than fine...
                                "
rotten_tomatoes,"[Some] sequences have a gleam and a rhythm to them that encapsulates Disney animation at its purest and most sinuous. The film itself doesn't hit that sweet spot that makes Pixar animations, for example, fun for adults as well as their children.
                                "
rotten_tomatoes,"This movie is so confusing that even talking about it is confusing.
                                "
rotten_tomatoes,"This is a well-considered, beautifully made - if not particularly brave or adventurous - sequel which carries both emotional heft and an intriguing mystery at its heart.
                                "
rotten_tomatoes,"Frozen II is an ambitious and challenging animated film that tries to evolve not only its own story but also the expectations for all of Disney animation.
                                "
rotten_tomatoes,"'Frozen 2' is one more Disney film this year that has taken on some huge social topics and masked them in a story that rivets audiences.
                                "
rotten_tomatoes,"Your kids will love it. But if you're like me and you love the original for its depth and how well thought out its thematic strengths were, you will find this one sorely lacking.
                                "
rotten_tomatoes,"The songs in Frozen 2 are memorable, welcoming and fresh and its fun to see the Arendelle gang all back together.
                                "
rotten_tomatoes,"An enjoyable film, though Elsa's lack of romantic plotline would be more admirable if all of her songs didn't make her sound like she was trying to come out of the closet.
                                "
rotten_tomatoes,"Even those who don't will be swept up in the propulsive narrative, the sumptuous beauty and the delight of characters who love each other no matter what.
                                "
rotten_tomatoes,"But it's the relationship between Elsa and Anna that gets the main focus, as it should, offering the sisters another chance to forge their own paths.
                                "
rotten_tomatoes,"Frozen II is infinitely less transcendent and it is also solemn, leaden and of a feathery magic. [Full Review in Spanish]
                                "
rotten_tomatoes,"So, not a disaster, but certainly not great either.
                                "
rotten_tomatoes,"The original was always going to be a hard act to follow, and although it doesn't quite reach the heights, this sequel should give fans, old and new, a lot of joy.
                                "
rotten_tomatoes,"With its message of female empowerment, and soundtrack full of earworms - once again written by the award-winning couple Kristen Anderson-Lopez and Robert Lopez - Frozen 2 sticks to its predecessor's winning formula.
                                "
rotten_tomatoes,"Frozen 2 just lets us know what is missing and, for a film that puts a lot of weight behind the idea of its characters moving on, this one clearly knows it is not yet ready to.
                                "
